Unnamed: 0,brand,name,old_price,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,department_Kids Unisex,department_Men,department_Unisex,department_Women,concentration_EDC,concentration_EDP,concentration_EDT,concentration_Oil,concentration_PDT
915,NINA RICCI,Premier Jour,300.0,136.45,100,EDP,Women,Fruity,"Sandalwood, Musk, Vanilla, Woodsy Notes","Orchid, Gardenia",4.7,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
916,JOVAN,Musk Cologne Sp,55.0,19.0,59,EDT,Women,Woody,"Musk, Amber, Wood",Ylang-ylang,4.7,Cute,3.7,1.9K,False,False,False,True,False,False,True,False,False
917,LACOSTE,L.12.12 Blanc-Pure,347.0,94.2,100,EDT,Men,Woody,"Virginia Cedar, Leather, Suede, Vetiver","Ylang-Ylang, Tuberose",4.6,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
918,HUGO BOSS,The Scent,535.0,155.0,100,EDP,Women,Fruity,Cacao,Osmanthus,4.5,noon,4.2,98.1K,False,False,False,True,False,True,False,False,False
919,DAVIDOFF,Adventure,210.0,219.0,100,EDT,Men,Woody,"Vetiver,Ceder,WhiteMusk",Warm Spices Of Wild Aromatic Black Sesame And South American Pimento,4.5,garmid,3.7,98,False,True,False,False,False,False,True,False,False
920,PACO RABANNE,Olympéa Intense,485.0,166.9,80,EDP,Women,Floral,"Ambergris, Cashmere wood and Sandalwood","Paco Rabanne Olympea, Vanilla and Salt",4.8,hadayiq baris,3.8,122,False,False,False,True,False,True,False,False,False
921,Dolce & Gabbana,3 L'Imperatrice,300.0,300.0,100,EDT,Women,Floral,"Citrus Wood, Musks And Sandalwood","Watermelon, Cyclamen And Jasmine",4.6,garmid,3.7,98,False,False,False,True,False,False,True,False,False
922,Mancera,Red Tobacco,590.0,340.0,120,EDP,Men,Woody,"Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods and White Musk","Patchouli Leaves, Jasmine",4.7,Faces,3.7,61,False,True,False,False,False,True,False,False,False
923,Lattafa,Oud Mood,119.0,42.55,100,EDP,Unisex,Woody,"Musk, Incense, Amber, Resin, Woody","Patchouli, Caramel, Agarwood",4.6,noon,4.2,98.1K,False,False,True,False,False,True,False,False,False
924,Roberto,Paradiso Assoluto,515.0,515.0,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",4.5,garmid,3.7,98,False,False,False,True,False,True,False,False,False
925,Roberto Cavalli,Paradiso Assoluto,515.0,515.0,75,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, Cashmeran","Wild Jasmine, Red Lily, Passionfruit",5.0,garmid,3.7,98,False,False,False,True,False,True,False,False,False
926,GUCCI,Guilty Absolute,515.0,230.0,90,EDP,Men,Woody,"Woody Notes, Vetiver","Patchouli, Cypress",4.1,Rayhanti,3.5,537,False,True,False,False,False,True,False,False,False
927,VERSACE,Bright Crystal,430.0,169.95,90,EDT,Women,Floral,"Amber, Musk, Mahogany","Peony,Lotus, Magnolia",4.8,noon,4.2,98.1K,False,False,False,True,False,False,True,False,False
928,Roberto Cavalli,Paradiso Azzuro,499.0,499.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amberwood, Sandalwood","Wild Jasmine, Watery Notes, Apple, Peach and Rose Tuberose",4.7,garmid,3.7,135,False,False,False,True,False,True,False,False,False
929,Dunhill,Custom,330.0,89.85,100,EDT,Men,Floral,"Virginia Cedar, Incense",Pepper,4.3,noon,4.2,98.1K,False,True,False,False,False,False,True,False,False
930,Roberto Cavalli,Paradiso Azzurro,499.0,499.0,75,EDP,Women,Fruity,"Cypress, Cashmere Wood, Amber wood, Sandalwood, Vanilla","Wild Jasmine, Watery Notes, Apple, Tuberose, Peach, Rose",4.7,garmid,3.7,124,False,False,False,True,False,True,False,False,False
931,GUESS,Dare,170.0,75.0,100,EDT,Women,Citrus,"Coconut Accords, Wood, Musk","Wild Rose, Elegant Jasmine",4.9,noon,3.7,98.1K,False,False,False,True,False,False,True,False,False
932,DAVIDOFF,Hot Water,215.0,76.95,110,EDT,Men,Arabian,"Styrax, Benzoin",Pimento and Patchouli,4.6,AMLAQ,3.9,135,False,True,False,False,False,False,True,False,False
